pais,rgdp,life_exp
Saudi Arabia,54100,75.3
Senegal,2600,61.7
Serbia,14200,75.5
Seychelles,28000,74.7
Sierra Leone,1700,58.2
Singapore,87100,85
Sint Maarten,66800,78.1
Slovakia,31200,77.1
Slovenia,32000,78.2
Solomon Islands,2000,75.3
Somalia,400,52.4
South Africa,13200,63.1
Spain,36500,81.7
Sri Lanka,11200,76.8
Sudan,4500,64.1
Suriname,15200,72.2
Swaziland,9800,51.6
Sweden,49700,82.1
Switzerland,59400,82.6
Syria,2900,74.9
Taiwan,47800,80.1
Tajikistan,3000,67.7
Tanzania,3100,62.2
Thailand,16800,74.7
Timor-Leste,4200,68.1
Togo,1500,65
Tonga,5300,76.2
Trinidad and Tobago,31900,72.9
Tunisia,11700,76.1
Turkey,21100,74.8
Turkmenistan,17300,70.1
Turks and Caicos Islands,29100,79.8
Tuvalu,3500,66.5
Uganda,2100,55.4
Ukraine,8200,71.8
United Arab Emirates,67700,77.5
United Kingdom,42500,80.7
United States,57300,79.8
Uruguay,21600,77.2
Uzbekistan,6500,73.8
Vanuatu,2600,73.4
Venezuela,15100,75.8
Vietnam,6400,73.4
Virgin Islands,36100,80
Wallis and Futuna,3800,79.7
West Bank,4300,75
Western Sahara,2500,63
Yemen,2500,65.5
Zambia,3900,52.5
Zimbabwe,2000,58
