Date,sp5
may-45,0.0115
jun-45,-0.0033
jul-45,-0.0201
ago-45,0.058
sep-45,0.0419
oct-45,0.0303
nov-45,0.0324
dic-45,0.0099
ene-46,0.0697
feb-46,-0.0695
mar-46,0.0463
abr-46,0.0376
may-46,0.0224
jun-46,-0.0391
jul-46,-0.0255
ago-46,-0.0729
sep-46,-0.1015
oct-46,-0.008
nov-46,-0.0115
dic-46,0.0429
ene-47,0.0235
feb-47,-0.0147
mar-47,-0.0169
abr-47,-0.0389
may-47,-0.0089
jun-47,0.0526
jul-47,0.0362
ago-47,-0.0279
sep-47,-0.0137
oct-47,0.0212
nov-47,-0.0285
dic-47,0.0207
ene-48,-0.0399
feb-48,-0.047
mar-48,0.0771
abr-48,0.0265
may-48,0.0782
jun-48,0.003
jul-48,-0.0532
ago-48,0.0076
sep-48,-0.0301
oct-48,0.0678
nov-48,-0.1082
dic-48,0.0305
ene-49,0.0013
feb-49,-0.0394
mar-49,0.0301
abr-49,-0.0212
may-49,-0.0373
jun-49,-0.0021
jul-49,0.0621
ago-49,0.012
sep-49,0.0237
oct-49,0.0295
nov-49,0.0012
dic-49,0.0436
ene-50,0.0173
feb-50,0.01
mar-50,0.0041
abr-50,0.0451
may-50,0.0393
jun-50,-0.058
jul-50,0.0085
ago-50,0.0325
sep-50,0.0559
oct-50,0.0041
nov-50,-0.001
dic-50,0.0461
ene-51,0.0612
feb-51,0.0065
mar-51,-0.0183
abr-51,0.0481
may-51,-0.0406
jun-51,-0.026
jul-51,0.0687
ago-51,0.0393
sep-51,-0.0009
oct-51,-0.0138
nov-51,-0.0026
dic-51,0.0389
ene-52,0.0156
feb-52,-0.0365
mar-52,0.0477
abr-52,-0.0431
may-52,0.0232
jun-52,0.0461
jul-52,0.0176
ago-52,-0.0146
sep-52,-0.0196
oct-52,-0.0008
nov-52,0.0465
dic-52,0.0355
ene-53,-0.0072
feb-53,-0.0182
mar-53,-0.0236
abr-53,-0.0265
may-53,-0.0032
jun-53,-0.0163
jul-53,0.0253
ago-53,-0.0578
sep-53,0.0013
oct-53,0.051
nov-53,0.009
dic-53,0.002
ene-54,0.0512
feb-54,0.0027
mar-54,0.0302
abr-54,0.049
may-54,0.0329
jun-54,0.0007
jul-54,0.0572
ago-54,-0.034
sep-54,0.0831
oct-54,-0.0195
nov-54,0.0808
dic-54,0.0508
ene-55,0.0181
feb-55,0.0035
mar-55,-0.0049
abr-55,0.0377
may-55,-0.0013
jun-55,0.0823
jul-55,0.0607
ago-55,-0.0078
sep-55,0.0113
oct-55,-0.0305
nov-55,0.0749
dic-55,-0.0007
ene-56,-0.0365
feb-56,0.0347
mar-56,0.0693
abr-56,-0.0021
may-56,-0.0657
jun-56,0.0392
jul-56,0.0515
ago-56,-0.0381
sep-56,-0.0455
oct-56,0.0051
nov-56,-0.011
dic-56,0.0353
ene-57,-0.0418
feb-57,-0.0326
mar-57,0.0196
abr-57,0.037
may-57,0.0369
jun-57,-0.0013
jul-57,0.0114
ago-57,-0.0561
sep-57,-0.0619
oct-57,-0.0321
nov-57,0.0161
dic-57,-0.0415
ene-58,0.0428
feb-58,-0.0206
mar-58,0.0309
abr-58,0.0318
may-58,0.015
jun-58,0.0261
jul-58,0.0431
ago-58,0.0119
sep-58,0.0484
oct-58,0.0254
nov-58,0.0224
dic-58,0.052
ene-59,0.0038
feb-59,-0.0002
mar-59,0.0005
abr-59,0.0388
may-59,0.0189
jun-59,-0.0036
jul-59,0.0349
ago-59,-0.015
sep-59,-0.0456
oct-59,0.0113
nov-59,0.0132
dic-59,0.0276
ene-60,-0.0715
feb-60,0.0092
mar-60,-0.0139
abr-60,-0.0175
may-60,0.0269
jun-60,0.0195
jul-60,-0.0248
ago-60,0.0261
sep-60,-0.0604
oct-60,-0.0024
nov-60,0.0403
dic-60,0.0463
ene-61,0.0632
feb-61,0.0269
mar-61,0.0255
abr-61,0.0038
may-61,0.0191
jun-61,-0.0288
jul-61,0.0328
ago-61,0.0196
sep-61,-0.0197
oct-61,0.0283
nov-61,0.0393
dic-61,0.0032
ene-62,-0.0379
feb-62,0.0163
mar-62,-0.0059
abr-62,-0.062
may-62,-0.086
jun-62,-0.0818
jul-62,0.0636
ago-62,0.0153
sep-62,-0.0482
oct-62,0.0044
nov-62,0.1016
dic-62,0.0135
ene-63,0.0491
feb-63,-0.0289
mar-63,0.0355
abr-63,0.0485
may-63,0.0143
jun-63,-0.0202
jul-63,-0.0035
ago-63,0.0487
sep-63,-0.011
oct-63,0.0322
nov-63,-0.0105
dic-63,0.0244
ene-64,0.0269
feb-64,0.0099
mar-64,0.0152
abr-64,0.0061
may-64,0.0115
jun-64,0.0164
jul-64,0.0182
ago-64,-0.0162
sep-64,0.0287
oct-64,0.0081
nov-64,-0.0052
dic-64,0.0039
ene-65,0.0332
feb-65,-0.0015
mar-65,-0.0145
abr-65,0.0342
may-65,-0.0077
jun-65,-0.0486
jul-65,0.0134
ago-65,0.0225
sep-65,0.032
oct-65,0.0273
nov-65,-0.0088
dic-65,0.009
ene-66,0.0049
feb-66,-0.0179
mar-66,-0.0218
abr-66,0.0205
may-66,-0.0541
jun-66,-0.0161
jul-66,-0.0135
ago-66,-0.0778
sep-66,-0.007
oct-66,0.0475
nov-66,0.0031
dic-66,-0.0015
ene-67,0.0782
feb-67,0.002
mar-67,0.0394
abr-67,0.0422
may-67,-0.0524
jun-67,0.0175
jul-67,0.0453
ago-67,-0.0117
sep-67,0.0328
oct-67,-0.0291
nov-67,0.0011
dic-67,0.0263
ene-68,-0.0438
feb-68,-0.0312
mar-68,0.0094
abr-68,0.0819
may-68,0.0112
jun-68,0.0091
jul-68,-0.0185
ago-68,0.0115
sep-68,0.0385
oct-68,0.0072
nov-68,0.048
dic-68,-0.0416
ene-69,-0.0082
feb-69,-0.0474
mar-69,0.0344
abr-69,0.0215
may-69,-0.0022
jun-69,-0.0556
jul-69,-0.0602
ago-69,0.0401
sep-69,-0.025
oct-69,0.0442
nov-69,-0.0353
dic-69,-0.0187
ene-70,-0.0765
feb-70,0.0527
mar-70,0.0015
abr-70,-0.0905
may-70,-0.061
jun-70,-0.05
jul-70,0.0733
ago-70,0.0445
sep-70,0.033
oct-70,-0.0114
nov-70,0.0474
dic-70,0.0568
ene-71,0.0405
feb-71,0.0091
mar-71,0.0368
abr-71,0.0363
may-71,-0.0416
jun-71,0.0007
jul-71,-0.0413
ago-71,0.0361
sep-71,-0.007
oct-71,-0.0418
nov-71,-0.0025
dic-71,0.0862
ene-72,0.0181
feb-72,0.0253
mar-72,0.0059
abr-72,0.0044
may-72,0.0173
jun-72,-0.0218
jul-72,0.0023
ago-72,0.0345
sep-72,-0.0049
oct-72,0.0093
nov-72,0.0456
dic-72,0.0118
ene-73,-0.0171
feb-73,-0.0375
mar-73,-0.0014
abr-73,-0.0408
may-73,-0.0189
jun-73,-0.0066
jul-73,0.038
ago-73,-0.0367
sep-73,0.0401
oct-73,-0.0013
nov-73,-0.1139
dic-73,0.0166
ene-74,-0.01
feb-74,-0.0036
mar-74,-0.0233
abr-74,-0.0391
may-74,-0.0336
jun-74,-0.0147
jul-74,-0.0778
ago-74,-0.0903
sep-74,-0.1193
oct-74,0.163
nov-74,-0.0532
dic-74,-0.0202
ene-75,0.1228
feb-75,0.0599
mar-75,0.0217
abr-75,0.0473
may-75,0.0441
jun-75,0.0443
jul-75,-0.0677
ago-75,-0.0211
sep-75,-0.0346
oct-75,0.0616
nov-75,0.0247
dic-75,-0.0115
ene-76,0.1183
feb-76,-0.0114
mar-76,0.0307
abr-76,-0.011
may-76,-0.0144
jun-76,0.0409
jul-76,-0.0081
ago-76,-0.0051
sep-76,0.0226
oct-76,-0.0222
nov-76,-0.0078
dic-76,0.0525
ene-77,-0.0505
feb-77,-0.0217
mar-77,-0.014
abr-77,0.0002
may-77,-0.0236
jun-77,0.0454
jul-77,-0.0162
ago-77,-0.021
sep-77,-0.0025
oct-77,-0.0434
nov-77,0.027
dic-77,0.0028
ene-78,-0.0615
feb-78,-0.0248
mar-78,0.0249
abr-78,0.0854
may-78,0.0042
jun-78,-0.0176
jul-78,0.0539
ago-78,0.0259
sep-78,-0.0073
oct-78,-0.0916
nov-78,0.0166
dic-78,0.0149
ene-79,0.0397
feb-79,-0.0365
mar-79,0.0552
abr-79,0.0017
may-79,-0.0263
jun-79,0.0387
jul-79,0.0087
ago-79,0.0531
sep-79,0
oct-79,-0.0686
nov-79,0.0426
dic-79,0.0168
ene-80,0.0576
feb-80,-0.0044
mar-80,-0.1018
abr-80,0.0411
may-80,0.0466
jun-80,0.027
jul-80,0.065
ago-80,0.0058
sep-80,0.0252
oct-80,0.016
nov-80,0.1024
dic-80,-0.0339
ene-81,-0.0457
feb-81,0.0133
mar-81,0.036
abr-81,-0.0235
may-81,-0.0017
jun-81,-0.0104
jul-81,-0.0022
ago-81,-0.0621
sep-81,-0.0538
oct-81,0.0491
nov-81,0.0366
dic-81,-0.0301
ene-82,-0.0175
feb-82,-0.0605
mar-82,-0.0102
abr-82,0.04
may-82,-0.0392
jun-82,-0.0203
jul-82,-0.023
ago-82,0.116
sep-82,0.0076
oct-82,0.1104
nov-82,0.0361
dic-82,0.0152
ene-83,0.0331
feb-83,0.019
mar-83,0.0331
abr-83,0.0749
may-83,-0.0123
jun-83,0.0352
jul-83,-0.033
ago-83,0.0113
sep-83,0.0102
oct-83,-0.0152
nov-83,0.0174
dic-83,-0.0088
ene-84,-0.0092
feb-84,-0.0389
mar-84,0.0135
abr-84,0.0055
may-84,-0.0594
jun-84,0.0175
jul-84,-0.0165
ago-84,0.1063
sep-84,-0.0035
oct-84,-0.0001
nov-84,-0.0151
dic-84,0.0224
ene-85,0.0741
feb-85,0.0087
mar-85,-0.0029
abr-85,-0.0046
may-85,0.0541
jun-85,0.0121
jul-85,-0.0048
ago-85,-0.012
sep-85,-0.0347
oct-85,0.0425
nov-85,0.0651
dic-85,0.0451
ene-86,0.0024
feb-86,0.0715
mar-86,0.0528
abr-86,-0.0141
may-86,0.0502
jun-86,0.0141
jul-86,-0.0587
ago-86,0.0712
sep-86,-0.0854
oct-86,0.0547
nov-86,0.0215
dic-86,-0.0283
ene-87,0.1318
feb-87,0.0369
mar-87,0.0264
abr-87,-0.0115
may-87,0.006
jun-87,0.0479
jul-87,0.0482
ago-87,0.035
sep-87,-0.0242
oct-87,-0.2176
nov-87,-0.0853
dic-87,0.0729
ene-88,0.0404
feb-88,0.0418
mar-88,-0.0333
abr-88,0.0094
may-88,0.0032
jun-88,0.0433
jul-88,-0.0054
ago-88,-0.0386
sep-88,0.0397
oct-88,0.026
nov-88,-0.0189
dic-88,0.0147
ene-89,0.0711
feb-89,-0.0289
mar-89,0.0208
abr-89,0.0501
may-89,0.0351
jun-89,-0.0079
jul-89,0.0884
ago-89,0.0155
sep-89,-0.0065
oct-89,-0.0252
nov-89,0.0165
dic-89,0.0214
ene-90,-0.0688
feb-90,0.0085
mar-90,0.0243
abr-90,-0.0269
may-90,0.092
jun-90,-0.0089
jul-90,-0.0052
ago-90,-0.0943
sep-90,-0.0512
oct-90,-0.0067
nov-90,0.0599
dic-90,0.0248
ene-91,0.0415
feb-91,0.0673
mar-91,0.0222
abr-91,0.0003
may-91,0.0386
jun-91,-0.0479
jul-91,0.0449
ago-91,0.0196
sep-91,-0.0191
oct-91,0.0119
nov-91,-0.0439
dic-91,0.1116
