Date,rtrr,,,,
nov-71,36043,,,,
dic-71,36020,,,,
ene-72,35746,,,,
feb-72,36044,,,,
mar-72,36975,,,,
abr-72,37066,,,,
may-72,37555,,,,
jun-72,37800,,,,
jul-72,38002,,,,
ago-72,38364,,,,
sep-72,39088,,,,
oct-72,39639,,,,
nov-72,39906,,,,
dic-72,40808,,,,
ene-73,41508,,,,
feb-73,42112,,,,
mar-73,42432,,,,
abr-73,42121,,,,
may-73,42121,,,,
jun-73,42508,,,,
jul-73,42521,,,,
ago-73,42648,,,,
sep-73,43221,,,,
oct-73,43461,,,,
nov-73,43807,,,,
dic-73,42669,,,,
ene-74,43204,,,,
feb-74,43461,,,,
mar-74,44087,,,,
abr-74,44676,,,,
may-74,45187,,,,
jun-74,45297,,,,
jul-74,46026,,,,
ago-74,47335,,,,
sep-74,46203,,,,
oct-74,45770,,,,
nov-74,45531,,,,
dic-74,44836,,,,
ene-75,46482,,,,
feb-75,47158,,,,
mar-75,46091,,,,
abr-75,46729,,,,
may-75,48890,,,,
jun-75,48836,,,,
jul-75,49599,,,,
ago-75,50134,,,,
sep-75,50232,,,,
oct-75,50565,,,,
nov-75,50775,,,,
dic-75,51568,,,,
ene-76,52854,,,,
feb-76,52482,,,,
mar-76,52830,,,,
abr-76,53868,,,,
may-76,53433,,,,
jun-76,54540,,,,
jul-76,54946,,,,
ago-76,54650,,,,
sep-76,54655,,,,
oct-76,55476,,,,
nov-76,55707,,,,
dic-76,57294,,,,
ene-77,56888,,,,
feb-77,58198,,,,
mar-77,58679,,,,
abr-77,59589,,,,
may-77,59328,,,,
jun-77,59643,,,,
jul-77,60327,,,,
ago-77,60275,,,,
sep-77,60539,,,,
oct-77,61743,,,,
nov-77,62232,,,,
dic-77,62517,,,,
ene-78,61283,,,,
feb-78,62730,,,,
mar-78,64277,,,,
abr-78,65882,,,,
may-78,66305,,,,
jun-78,67452,,,,
jul-78,67017,,,,
ago-78,67902,,,,
sep-78,68218,,,,
oct-78,69432,,,,
nov-78,70495,,,,
dic-78,71429,,,,
ene-79,70989,,,,
feb-79,71588,,,,
mar-79,73031,,,,
abr-79,72863,,,,
may-79,73617,,,,
jun-79,73932,,,,
jul-79,73614,,,,
ago-79,76338,,,,
sep-79,77092,,,,
oct-79,76539,,,,
nov-79,77560,,,,
dic-79,77782,,,,
ene-80,79430,,,,
feb-80,78770,,,,
mar-80,77585,,,,
abr-80,76556,,,,
may-80,76602,,,,
jun-80,77656,,,,
jul-80,79279,,,,
ago-80,80067,,,,
sep-80,80325,,,,
oct-80,82197,,,,
nov-80,82870,,,,
dic-80,82971,,,,
ene-81,84926,,,,
feb-81,86031,,,,
mar-81,86554,,,,
abr-81,85996,,,,
may-81,85364,,,,
jun-81,86146,,,,
jul-81,86817,,,,
ago-81,88194,,,,
sep-81,87829,,,,
oct-81,86642,,,,
nov-81,86504,,,,
dic-81,86874,,,,
ene-82,85933,,,,
feb-82,88204,,,,
mar-82,87401,,,,
abr-82,87805,,,,
may-82,88770,,,,
jun-82,87351,,,,
jul-82,88899,,,,
ago-82,88464,,,,
sep-82,89670,,,,
oct-82,90712,,,,
nov-82,92119,,,,
dic-82,92135,,,,
ene-83,91521,,,,
feb-83,91774,,,,
mar-83,94219,,,,
abr-83,94479,,,,
may-83,96062,,,,
jun-83,98278,,,,
jul-83,98854,,,,
ago-83,97382,,,,
sep-83,99241,,,,
oct-83,100780,,,,
nov-83,102092,,,,
dic-83,102734,,,,
ene-84,105065,,,,
feb-84,104941,,,,
mar-84,104203,,,,
abr-84,106137,,,,
may-84,106830,,,,
jun-84,108358,,,,
jul-84,106655,,,,
ago-84,106064,,,,
sep-84,107569,,,,
oct-84,108090,,,,
nov-84,110153,,,,
dic-84,109688,,,,
ene-85,110516,,,,
feb-85,111701,,,,
mar-85,112269,,,,
abr-85,113720,,,,
may-85,114433,,,,
jun-85,113795,,,,
jul-85,113994,,,,
ago-85,115629,,,,
sep-85,118888,,,,
oct-85,115440,,,,
nov-85,115997,,,,
dic-85,117447,,,,
ene-86,118585,,,,
feb-86,117480,,,,
mar-86,116665,,,,
abr-86,117409,,,,
may-86,119114,,,,
jun-86,119240,,,,
jul-86,119647,,,,
ago-86,120871,,,,
sep-86,127973,,,,
oct-86,122617,,,,
nov-86,122048,,,,
dic-86,127561,,,,
ene-87,119274,,,,
feb-87,125245,,,,
mar-87,126055,,,,
abr-87,127244,,,,
may-87,127155,,,,
jun-87,128646,,,,
jul-87,129596,,,,
ago-87,132366,,,,
sep-87,130489,,,,
oct-87,129879,,,,
nov-87,130305,,,,
dic-87,132463,,,,
ene-88,132604,,,,
feb-88,133262,,,,
mar-88,135997,,,,
abr-88,135080,,,,
may-88,136369,,,,
jun-88,137281,,,,
jul-88,137452,,,,
ago-88,138199,,,,
sep-88,137385,,,,
oct-88,140871,,,,
nov-88,142047,,,,
dic-88,142990,,,,
ene-89,143931,,,,
feb-89,142132,,,,
mar-89,142698,,,,
abr-89,146155,,,,
may-89,146425,,,,
jun-89,146228,,,,
jul-89,147384,,,,
ago-89,149862,,,,
sep-89,149208,,,,
oct-89,147874,,,,
nov-89,149422,,,,
dic-89,149796,,,,
ene-90,153685,,,,
feb-90,152957,,,,
mar-90,153309,,,,
abr-90,152706,,,,
may-90,152198,,,,
jun-90,153539,,,,
jul-90,154119,,,,
ago-90,154830,,,,
sep-90,155980,,,,
oct-90,155623,,,,
nov-90,155930,,,,
dic-90,153775,,,,
ene-91,151188,,,,
feb-91,153632,,,,
mar-91,155289,,,,
abr-91,154907,,,,
may-91,155915,,,,
jun-91,156468,,,,
jul-91,156522,,,,
ago-91,155760,,,,
sep-91,156387,,,,
oct-91,155437,,,,
nov-91,155675,,,,
dic-91,156103,,,,
ene-92,158997,,,,
feb-92,160455,,,,
mar-92,160000,,,,
abr-92,159843,,,,
may-92,160635,,,,
jun-92,160914,,,,
jul-92,161666,,,,
ago-92,162931,,,,
sep-92,164102,,,,
oct-92,166885,,,,
nov-92,167133,,,,
dic-92,168991,,,,
ene-93,169529,,,,
feb-93,168830,,,,
mar-93,167294,,,,
abr-93,170530,,,,
may-93,172024,,,,
jun-93,172299,,,,
jul-93,173382,,,,
ago-93,174365,,,,
sep-93,174474,,,,
oct-93,177708,,,,
nov-93,178762,,,,
dic-93,180516,,,,
ene-94,178828,,,,
feb-94,181958,,,,
mar-94,185303,,,,
abr-94,183429,,,,
may-94,183395,,,,
jun-94,185089,,,,
jul-94,185287,,,,
ago-94,187973,,,,
sep-94,189465,,,,
oct-94,191789,,,,
nov-94,192611,,,,
dic-94,192913,,,,
