S ASVABC SM
15 -0.1012036 13
19 1.095147 14
12 -0.2477112 17
16 -0.1418517 18
16 0.6609549 12
15 1.000391 14
10 -0.8120099 13
12 -0.3947729 13
17 -0.1278228 16
17 1.608468 16
12 -0.3142131 12
15 0.2231818 9
16 1.423373 12
15 1.906525 18
12 -0.4663263 12
20 0.3502426 20
12 -1.618513 12
19 1.276162 16
14 1.691851 12
13 -0.4242826 12
19 0.3073247 14
17 0.6318526 12
14 -1.406244 12
14 0.8941712 13
18 2.236287 16
15 0.3498275 16
15 -0.3112341 14
16 -0.2702237 15
16 0.7101924 16
16 0.747652 16
12 -0.0766271 12
15 0.3727971 14
16 0.4808002 13
19 -0.4143652 18
14 -0.3025108 14
14 0.1714571 13
10 -1.945648 11
12 -1.639898 10
14 -1.232116 10
13 0.1312159 12
15 0.6897541 12
9 -1.580286 11
16 0.3145715 14
17 0.6360638 17
14 0.2807353 13
17 2.496489 17
17 -0.0271667 13
14 -0.2768705 12
16 0.0687545 4
13 0.3514275 14
18 -0.6471214 12
16 0.4401322 14
12 0.1141719 14
16 0.7186668 14
16 1.150186 13
16 1.121061 19
9 -0.4524646 7
12 -0.7017089 12
13 0.7313938 12
19 0.6100308 16
16 -0.7264074 15
17 -0.6738929 12
18 -0.1480892 14
12 1.144005 13
20 2.24304 20
17 0.2359113 14
16 -0.5507254 9
14 -1.4669 14
18 0.1607029 17
14 -1.005866 12
16 -0.2247131 18
12 -0.5745055 12
16 1.511934 16
15 -0.4155122 14
12 -0.4962887 13
16 -0.0388956 14
16 -0.2926187 12
17 1.906424 12
19 0.5647601 12
19 -0.0821402 16
19 0.9832436 20
17 -0.6324071 12
15 -0.5460669 12
16 0.5276306 16
17 -0.1708507 14
20 1.256459 12
16 0.3205318 14
12 -1.013063 12
14 1.323067 12
17 0.647156 18
12 0.8321719 12
12 -0.3349752 9
19 1.097765 12
14 1.042485 12
18 1.501059 13
16 -0.4098858 14
18 0.9916146 14
16 0.6481141 15
14 -0.6959081 5
13 -0.0911878 12
20 0.8667774 12
11 -0.5234286 12
19 1.026391 14
16 1.912863 18
14 -0.4193358 6
10 -0.118662 14
17 0.0912342 16
18 0.9398965 16
20 2.064852 16
17 0.3575132 18
18 1.197891 16
17 -0.1637929 12
13 -0.3270003 16
18 1.373633 12
16 0.3747779 13
10 -0.439836 12
9 -0.2492802 14
18 0.5068028 12
14 0.5812681 20
17 1.695025 18
16 0.6126443 12
17 2.640667 20
18 -0.0655311 14
12 0.3946567 14
18 0.9726996 16
16 0.4722942 12
18 0.3442339 16
10 -0.2409466 11
16 -0.2705589 11
16 1.613658 16
16 -0.6203924 16
16 0.5731764 12
11 -1.193695 12
12 -0.2132668 12
14 -0.0505893 12
12 -1.203786 11
18 0.8448277 12
16 -0.0640803 14
11 -0.5239393 12
12 0.7920448 12
16 2.011682 13
18 1.056452 13
20 1.479202 17
10 -0.7183154 7
18 0.5274199 14
19 0.8323805 16
19 1.107102 4
10 -0.0355366 12
12 -0.1311991 12
13 -1.266716 12
13 -0.0594217 14
16 0.8251629 13
17 1.114216 15
12 0.8198169 5
16 0.2267142 16
12 0.8334628 12
12 1.534573 18
18 0.6359922 14
12 0.4863824 14
17 1.471087 8
13 -0.102861 12
16 0.8418832 13
15 -0.3425139 14
18 0.4976683 16
18 -0.0196507 18
13 -0.1681826 12
18 0.2523736 14
20 0.3990223 12
20 1.329984 14
12 -1.953143 14
11 0.4264667 15
12 -1.642493 14
18 0.9106284 14
16 0.9461321 17
12 -0.2595904 12
18 -0.0098334 16
17 0.195348 12
17 -0.1698853 13
14 0.0840076 12
16 1.220474 12
16 1.364907 14
16 0.969436 14
15 0.1862828 13
17 0.3306055 12
14 -0.1062396 12
15 1.2948 12
17 0.4873228 20
16 -1.21256 12
17 0.4669619 14
13 0.5846891 12
14 -0.3516985 14
16 -0.0997587 13
12 0.3824785 11
16 0.3549131 16
18 1.19392 17
15 -0.1660369 13
15 -0.2699559 17
11 -1.628997 12
13 -0.0479175 12
17 0.4781126 20
10 -0.3298252 14
11 0.4584335 12
16 0.6171628 12
14 1.815275 12
15 -0.289511 14
18 1.472823 12
11 -0.5371386 12
13 0.2971778 13
18 0.475235 14
17 1.053529 13
16 0.0560488 12
16 1.448774 12
12 1.08595 12
14 0.8504636 15
14 0.1255221 14
20 -0.0605992 12
12 -0.5026686 12
12 0.5538019 12
16 0.8994376 20
14 0.0495427 18
16 1.981884 15
18 -0.9542729 10
16 0.5913221 12
16 0.5853359 10
14 1.46646 12
14 -0.0904441 12
16 0.2791134 13
17 0.788998 16
13 -0.4481151 15
12 0.0162266 12
20 0.5119669 16
19 0.9805173 16
19 0.1052925 13
12 -0.2836666 16
19 0.1789303 12
15 0.0725235 16
17 0.3536068 14
16 0.3174427 14
14 1.024557 12
16 1.057197 12
16 -1.456318 12
16 0.3189436 14
18 0.4295611 16
15 -0.5042874 9
15 1.716556 20
17 -0.0472086 13
19 0.4059331 1
14 1.393429 18
17 1.31774 12
20 2.091556 17
12 -0.1008442 12
16 -0.1727144 16
9 -1.607485 9
16 0.8626516 13
11 0.6024606 13
14 0.5517797 12
15 0.6814198 14
12 -0.7171698 12
14 0.8562797 12
18 -0.6814676 12
12 -0.3126305 14
15 -0.0651849 16
13 -0.2041484 12
19 1.376344 12
19 1.266815 20
17 0.4946733 17
17 0.5885549 14
12 0.2166141 13
