educ,IQ,lwage
17,113,5.857933044
14,100,5.926926136
16,97,6.175867081
18,125,6.869014263
15,106,6.047372341
15,101,6.214608192
12,91,6.354370117
12,86,6.357842445
12,110,5.736572266
14,92,7.186901093
10,85,6.311734676
17,120,6.781057835
12,107,6.056784153
16,116,6.356107712
16,121,6.511745453
16,112,6.357842445
12,100,6.646390438
12,112,6.214608192
16,108,5.968707561
12,90,6.697034359
9,86,6.297109127
17,127,6.761572838
10,86,6.551080227
12,113,6.234410763
13,111,6.421622276
14,113,6.634633541
10,81,6.200509071
16,111,6.098074436
16,112,6.620073318
16,114,6.551080227
12,111,6.410174847
13,106,6.109247684
14,79,6.214608192
12,98,5.899897575
12,105,6.700731277
12,105,6.261491776
13,118,6.703187943
12,100,6.620073318
12,90,7.025538445
12,95,6.43775177
14,112,6.572282314
12,96,6.38181591
17,127,6.001414776
12,120,6.514712811
12,123,6.095824718
12,98,6.551080227
12,114,5.783825397
13,103,6.504288197
18,121,7.784889221
16,117,6.630683422
16,90,6.893656254
12,125,6.357842445
17,104,5.655992031
14,106,5.442417622
15,122,6.421622276
15,120,6.551080227
18,112,6.570882797
18,109,6.766191483
16,128,6.821107388
12,97,6.970730305
12,96,5.991464615
12,103,6.46146822
17,127,6.463029385
12,97,6.705638885
17,120,6.882437706
12,78,6.620073318
15,118,6.137727261
12,89,5.993961334
17,122,7.083387852
14,98,6.43775177
13,101,6.570882797
12,112,6.315358162
12,88,6.361302376
18,136,7.561641693
16,124,6.692083836
12,96,5.840641499
12,97,6.869014263
18,107,6.729824066
16,111,6.33327961
16,102,7.251345158
12,115,6.173786163
12,94,6.396929741
14,92,6.0330863
16,116,5.703782558
12,101,6.580639362
12,99,6.752270222
10,106,6.603943825
11,122,6.349139214
12,88,6.690842152
10,59,5.991464615
18,126,6.869014263
18,126,6.705638885
18,105,6.580639362
18,123,6.816735744
17,119,5.93753624
14,108,5.857933044
11,93,6.542471886
12,82,6.921658039
18,123,7.035268784
18,134,7.443663597
12,84,6.270988464
17,101,6.511745453
17,125,6.917705536
18,117,6.740519524
11,98,6.565265179
16,118,6.709304333
15,129,6.214608192
16,96,6.955592632
18,124,7.091742039
16,122,6.473890781
13,85,6.774223804
17,112,6.306275368
15,111,7.716015339
12,90,7.273786545
18,101,7.140452862
12,100,6.396929741
11,95,5.703782558
16,120,6.287858486
12,101,6.740519524
12,90,6.907755375
16,122,6.329720974
18,140,5.652489185
16,106,6.079933167
13,93,5.783825397
16,119,6.363028049
16,95,6.376727104
18,115,6.685861111
14,119,5.743003368
12,67,5.52146101
15,97,6.214608192
12,111,6.620073318
13,101,5.837730408
15,112,5.52146101
16,107,6.551080227
12,93,5.991464615
17,122,6.318968296
15,106,6.549650669
18,127,7.103322029
16,113,6.421622276
14,115,6.613384247
18,118,6.472346306
12,106,6.613384247
16,118,6.703187943
16,126,6.762729645
12,95,6.295266151
13,107,5.899897575
10,100,6.0330863
16,102,6.48768425
15,113,6.270988464
17,96,6.746412277
12,106,6.49677515
18,111,6.790097237
17,113,6.762729645
18,138,5.442417622
12,110,6.687108517
13,105,6.278521538
15,85,6.652863026
16,113,6.762729645
16,117,6.921658039
18,126,6.463029385
16,125,5.808142662
18,125,6.269096375
16,89,7.050989628
18,125,6.705638885
18,129,6.539586067
16,118,6.896694183
16,114,6.102558613
18,121,6.909753323
18,115,7.123672962
14,120,6.825459957
12,85,6.347389221
12,109,6.26339817
12,117,7.050989628
14,104,6.453625202
13,109,5.961005211
12,105,6.533788681
12,85,6.445719719
15,115,6.950814724
12,89,6.214608192
12,85,6.660574913
13,102,6.357842445
13,109,6.26339817
17,107,5.953243256
16,103,6.43775177
13,83,6.163314819
14,112,6.49072361
14,106,6.261491776
12,101,6.43775177
16,105,6.917705536
12,116,6.398594856
12,90,6.054439545
12,91,6.966024399
12,128,6.025866032
12,110,6.198478699
12,93,5.783825397
12,75,5.616771221
12,94,5.673323154
14,112,6.190315247
14,121,5.820083141
12,100,6.586171627
13,109,6.086774826
16,122,6.463029385
12,102,5.926926136
12,131,6.175867081
14,122,6.82979393
12,105,6.970730305
12,103,6.458338261
12,113,6.605298042
12,104,6.200509071
16,124,6.444131374
13,110,6.013715267
18,112,6.396929741
12,104,6.613384247
17,96,6.43775177
12,95,6.308098316
15,95,5.786897182
12,103,6.774223804
12,116,6.459904671
14,95,6.222576141
17,101,5.746203423
16,120,6.580639362
12,102,6.665683746
12,105,6.30261898
12,103,6.719013214
12,94,5.0689044
13,102,6.580639362
16,112,6.315358162
14,101,6.295266151
16,121,6.232448101
16,105,5.953243256
12,96,7.273786545
16,128,6.778784752
12,110,6.7604146
12,92,6.606650352
12,87,6.790097237
15,126,6.126869202
12,98,6.109247684
12,103,6.551080227
14,122,6.612040997
16,109,6.790097237
18,125,6.539586067
18,119,6.40357399
18,97,6.43775177
14,103,6.61472559
18,95,6.587550163
12,99,6.327936649
12,106,6.049733639
12,117,5.991464615
14,112,5.52146101
13,136,6.470799446
12,110,6.907755375
12,111,6.269096375
12,115,6.175867081
12,90,6.745236397
14,98,6.226536751
12,106,6.238324642
12,95,5.480638981
12,115,6.322565079
15,106,6.214608192
16,102,5.918893814
10,91,5.857933044
12,114,6.36990118
13,92,6.244166851
12,111,5.966146946
16,111,5.634789467
12,96,5.703782558
17,119,6.453625202
13,85,5.834810734
16,98,6.224558353
13,114,5.874930859
12,79,5.568344593
13,108,6.606650352
15,121,5.620400906
12,117,5.476463318
12,107,5.857933044
12,103,6.395261765
15,105,6.620073318
16,105,6.539586067
12,88,4.990432739
12,96,5.634789467
18,105,6.645091057
14,100,6.24804306
16,116,5.991464615
12,86,5.926926136
12,88,6.390240669
11,97,6.0330863
16,112,5.823045731
18,125,6.175867081
10,84,6.109247684
16,117,6.645091057
16,110,6.580639362
13,104,6.907755375
14,101,6.43775177
16,99,6.705638885
12,87,5.932245255
12,101,6.56244421
14,117,6.018593311
13,108,7.199678421
10,86,5.257495403
16,69,6.828711987
15,105,5.480638981
13,104,6.43775177
12,109,6.220590115
16,85,6.135564804
16,114,6.165417671
15,99,6.214608192
13,90,6.49677515
15,119,6.561030865
16,120,6.833031654
15,112,5.899897575
12,97,6.469250202
18,107,6.135564804
18,117,6.933423042
18,125,5.926926136
18,112,7.338238239
18,106,6.827629089
13,104,6.342121601
14,89,6.396929741
15,116,6.580639362
14,123,6.568078041
16,118,6.694561958
11,106,6.82979393
12,91,5.602118969
12,103,7.090076923
14,114,6.364750862
17,105,6.53087759
18,84,6.907755375
12,89,6.536691666
12,81,6.214608192
13,118,6.620073318
17,91,6.816735744
16,113,6.357842445
12,121,6.398594856
12,102,6.357842445
12,104,6.517671108
18,106,6.159095287
15,108,6.429719448
16,108,5.934894085
16,121,5.493061543
12,87,6.620073318
18,107,6.089045048
14,112,6.533788681
18,116,6.21660614
12,115,5.991464615
12,107,6.888572693
14,117,6.475432873
12,110,6.43775177
16,97,6.561030865
12,96,6.949856281
13,91,6.354370117
14,97,6.762729645
12,90,6.569481373
16,112,6.511745453
12,97,6.495265484
14,120,6.297109127
13,109,6.26339817
12,99,6.214608192
10,99,5.480638981
12,85,6.135564804
12,97,6.001414776
12,95,6.109247684
12,80,6.869014263
14,126,6.620073318
17,109,6.539586067
11,86,6.565265179
12,112,6.72503376
12,98,5.730099678
16,119,6.43775177
16,102,6.511745453
17,128,5.991464615
9,82,6.249975204
17,113,6.013715267
18,105,6.326149464
17,124,6.933423042
14,94,7.091742039
17,117,5.796057701
18,116,6.175867081
16,112,7.156176567
18,105,6.095824718
16,87,6.175867081
12,108,6.146329403
15,89,5.655992031
18,119,6.357842445
14,97,6.580639362
12,89,6.135564804
12,131,5.298317432
16,85,6.645091057
17,132,6.652863026
16,114,6.463029385
14,98,6.961296082
16,110,6.516192913
12,124,6.53813982
17,118,6.869014263
13,90,5.991464615
16,108,6.511745453
18,112,7.273786545
18,100,6.270988464
14,84,6.551080227
18,97,6.202535629
12,113,6.214608192
13,105,6.575075626
12,88,6.354370117
12,74,5.857933044
16,115,6.466144562
15,91,6.5206213
12,103,6.280395985
16,102,6.261491776
16,98,6.502789974
18,82,5.739792824
14,112,6.492239952
16,108,6.539586067
15,90,6.357842445
16,111,5.676753998
13,96,6.620073318
16,127,7.091742039
15,97,7.379631996
14,120,6.645091057
16,101,6.24027586
12,100,6.690842152
17,99,6.869014263
12,104,6.514712811
13,116,5.986452103
14,120,6.751101494
11,95,6.54102993
13,99,5.843544483
12,68,6.329720974
16,122,6.150602818
16,106,5.703782558
18,101,6.511745453
16,104,6.694561958
13,99,6.588926315
12,101,7.261927128
12,110,6.634633541
12,94,6.396929741
16,111,7.013015747
16,120,6.637258053
12,108,6.47697258
14,111,7.051855564
12,103,6.318968296
11,97,6.684611797
11,97,6.907755375
12,106,6.761572838
13,109,6.418365002
13,96,6.561030865
13,79,6.70686245
10,62,5.703782558
16,110,6.55393362
16,117,7.186901093
12,72,5.940171242
11,83,5.991464615
11,99,6.210599899
10,72,6.49677515
10,88,6.396929741
18,123,6.941190243
14,91,6.983789921
18,98,5.991464615
16,119,6.463029385
12,87,6.429719448
17,121,6.175867081
12,112,6.300786018
14,113,6.666956902
18,125,6.184148788
14,121,6.582025051
15,128,6.543911934
15,103,6.675823212
16,99,7.561641693
15,101,6.675823212
15,117,6.802394867
14,109,6.483107567
12,73,6.24027586
14,88,5.950642586
16,116,6.214608192
15,137,6.398594856
12,105,6.082219124
12,98,6.214608192
18,122,7.142036438
14,104,6.616065025
14,78,6.24027586
12,104,6.551080227
16,93,6.510258198
17,87,6.890609264
13,101,5.393627644
18,134,7.091742039
12,85,6.502789974
15,104,6.095824718
12,104,6.297109127
12,107,6.680854797
12,93,6.214608192
11,94,5.857933044
12,109,6.587550163
13,119,6.284134388
13,98,6.276643276
17,103,6.059123039
18,112,6.745236397
16,104,6.161207199
13,96,6.486160755
14,102,6.135564804
16,103,6.511745453
12,95,6.684611797
12,93,5.811141014
13,122,6.55393362
12,107,6.261491776
12,97,6.357842445
18,115,6.047372341
18,120,6.773080349
15,103,6.46146822
16,106,7.003973961
16,96,6.475432873
12,114,6.109247684
11,86,6.548219204
15,78,6.224558353
16,110,6.320768356
17,132,5.926926136
15,126,6.511745453
13,102,5.730099678
12,87,6.371612072
12,89,6.660574913
12,106,6.486160755
12,100,6.047372341
16,98,7.156176567
12,97,6.869014263
12,111,6.684611797
12,100,6.620073318
18,110,6.472346306
12,114,6.84375
17,135,6.285997868
15,121,5.669880867
12,95,5.257495403
18,116,6.70686245
18,98,6.700731277
12,90,6.588926315
12,116,7.025538445
17,110,6.421622276
12,97,5.998936653
11,89,6.558197975
15,105,5.820083141
17,117,6.72503376
17,75,5.257495403
12,87,6.593044758
10,74,6.295266151
12,91,6.712956429
12,90,6.082219124
16,112,6.056784153
12,90,5.828945637
13,130,6.175867081
16,108,6.705638885
12,86,6.214608192
12,101,6.297109127
16,125,6.102558613
15,94,5.379897118
15,109,5.863631248
12,98,6.580639362
17,114,6.483107567
16,125,6.688354492
12,100,6.345636368
16,104,6.396929741
13,112,6.109247684
13,100,6.098074436
15,104,6.380122662
14,97,6.580639362
12,120,6.54102993
13,134,6.270988464
9,92,6.152732849
16,129,6.175867081
16,122,6.135564804
14,118,6.762729645
16,101,6.569481373
12,107,6.606650352
14,92,6.705638885
12,92,6.517671108
16,121,6.680854797
13,102,6.645091057
16,118,6.135564804
12,100,5.973809719
13,92,6.684611797
17,108,6.511745453
16,121,6.175867081
12,119,6.81454277
16,106,5.953243256
12,98,6.077642441
12,109,6.265301228
16,120,6.295266151
13,127,6.645091057
18,101,6.566672325
18,108,5.846438885
12,91,6.668228149
14,118,6.120297432
16,110,6.13122654
13,119,5.624017715
17,103,6.694561958
14,103,6.436150551
12,104,6.546785355
14,108,5.934894085
12,118,6.159095287
12,98,6.052089214
16,120,6.475432873
15,144,6.196444035
12,100,6.214608192
14,86,5.91350317
18,122,6.226536751
12,98,6.428105354
12,101,5.888877869
12,117,6.376727104
12,119,5.857933044
12,105,6.182085037
11,104,6.727431774
17,111,5.953243256
11,96,6.109247684
16,94,6.196444035
18,101,6.722630024
12,83,6.0730443
12,112,6.551080227
10,93,6.295266151
12,105,5.978885651
12,115,6.580639362
12,105,7.079184532
12,88,6.21660614
16,122,5.817111015
12,96,6.336825848
17,123,6.871091366
12,104,6.684611797
12,108,6.411818504
16,116,6.507277489
11,92,6.098074436
13,102,6.184148788
18,109,6.565265179
12,103,6.859614849
13,97,6.214608192
16,101,6.12468338
12,98,6.01615715
12,96,6.186208725
18,122,6.869014263
16,114,5.883322239
12,100,5.79909277
12,104,6.43775177
12,111,6.204557896
12,110,6.48157692
12,87,6.582025051
12,103,6.556778431
12,95,6.43775177
18,116,6.432940006
15,109,6.056784153
12,104,6.48157692
12,104,6.466144562
12,110,6.354370117
13,100,5.746203423
18,116,6.498281956
13,94,6.318968296
15,115,6.464588165
14,123,6.502789974
18,113,7.185387135
16,106,6.660574913
14,114,6.705638885
12,95,6.253829002
12,113,6.357842445
16,111,6.43775177
16,110,6.527957916
14,100,6.152732849
13,95,6.442540169
12,100,6.317164898
16,130,6.463029385
13,98,6.24027586
12,103,6.40357399
13,108,6.551080227
12,101,6.928537846
12,90,6.570882797
12,79,6.214608192
12,94,6.368186951
12,115,6.559615135
16,118,6.253829002
16,114,6.486160755
16,114,6.527957916
13,84,5.620400906
13,92,6.561030865
12,107,6.669497967
18,137,7.184628963
14,129,6.001414776
16,101,5.703782558
12,98,6.511745453
12,108,6.582025051
16,114,6.645091057
16,110,6.633318424
18,111,6.0730443
13,99,7.083387852
17,113,6.135564804
12,101,5.91350317
12,99,6.163314819
12,101,6.075345993
12,75,5.805134773
16,102,6.46146822
12,91,6.224558353
16,113,6.43775177
12,120,6.135564804
17,134,6.705638885
17,105,6.070737839
14,98,6.463029385
15,107,5.416100502
15,110,6.580639362
16,101,6.582025051
16,107,6.705638885
16,115,6.498281956
18,121,6.799056053
11,115,6.675823212
15,134,6.289715767
15,105,6.580639362
13,97,6.82979393
12,108,6.230481625
16,113,6.834108829
17,96,6.558197975
16,137,6.253829002
12,110,6.845880032
16,120,6.641181946
15,105,6.561030865
12,121,6.527957916
16,113,6.0330863
18,113,6.396929741
15,101,6.525029659
18,104,6.822197437
12,96,6.603943825
12,92,7.062191486
11,80,6.639875889
12,117,6.869014263
18,134,5.703782558
16,126,6.489204884
12,95,6.135564804
12,102,6.580639362
12,112,6.812345028
13,104,6.120297432
12,81,6.514712811
12,70,6.580639362
12,70,6.82979393
12,83,6.620073318
12,84,6.33327961
14,104,6.43775177
10,82,5.703782558
12,109,7.229838848
14,111,6.152732849
12,97,6.669497967
16,120,5.438079357
12,94,5.752572536
17,116,5.872117996
13,101,6.475432873
12,98,6.075345993
11,110,6.396929741
13,131,5.327876091
12,122,6.175867081
13,88,6.184148788
18,111,6.632001877
12,90,6.902742863
16,120,5.749392986
12,108,6.663132668
13,99,6.47697258
11,80,6.163314819
11,93,6.587550163
16,96,6.580639362
12,85,6.33327961
12,108,6.396929741
15,110,6.539586067
15,118,6.047372341
12,102,6.666956902
16,113,6.357842445
18,112,6.453625202
12,115,6.01615715
16,117,5.91350317
16,119,6.670766354
12,94,7.131698608
16,109,6.694561958
16,107,5.730099678
16,121,6.511745453
12,90,6.261491776
12,121,6.109247684
12,89,5.808142662
12,101,6.816735744
11,68,4.852030277
16,118,5.981414318
13,102,6.163314819
16,102,5.703782558
12,109,6.445719719
12,94,6.184148788
12,115,6.308098316
12,101,5.918893814
12,92,6.463029385
12,89,6.251904011
9,71,5.953243256
16,97,6.109247684
12,116,5.752572536
14,130,6.59441328
12,102,5.783825397
16,119,6.423246861
15,104,5.846438885
13,91,6.154858112
12,93,5.703782558
12,95,5.587248802
12,74,5.438079357
14,115,6.068425655
12,89,6.274762154
12,92,7.003065586
12,104,6.376727104
18,109,6.734591484
15,124,6.463029385
15,94,5.857933044
16,120,6.4264884
13,103,6.152732849
12,92,6.018593311
12,111,5.991464615
11,96,6.551080227
15,103,5.739792824
14,110,5.493061543
12,67,5.513428688
11,69,6.047372341
11,91,6.396929741
17,104,6.551080227
12,124,5.703782558
12,98,6.53813982
12,86,6.396929741
12,118,6.551080227
14,98,5.616771221
9,92,6.514712811
17,116,6.107022762
16,97,6.453625202
14,109,7.130898952
18,105,6.869014263
18,99,6.194405556
14,108,6.620073318
18,100,5.786897182
18,117,6.063785076
12,101,6.347389221
16,111,6.816735744
14,101,6.357842445
18,92,6.580639362
16,106,6.869014263
12,102,6.43775177
14,115,6.569481373
12,99,6.565265179
16,118,6.816735744
13,132,6.539586067
13,108,6.47697258
14,103,6.413458824
12,98,6.587550163
13,111,6.642486572
12,97,6.429719448
16,101,6.580639362
18,129,6.246106625
12,85,5.991464615
14,106,6.694561958
17,120,6.464588165
12,107,6.251904011
12,109,6.342121601
12,106,6.885509491
12,106,6.65801096
14,95,6.093569756
16,105,6.539586067
16,131,6.0330863
11,93,6.650279045
15,88,5.991464615
12,100,6.802394867
16,107,6.551080227
16,104,6.184148788
16,107,6.795705795
18,126,6.620073318
13,109,6.961296082
12,112,6.838405132
12,105,6.342121601
16,133,6.89467001
12,114,6.473890781
16,99,6.107022762
12,114,6.363028049
12,123,6.684611797
12,83,5.075173855
17,127,6.763885021
12,87,6.52649498
12,100,7.016609669
12,104,7.003065586
12,106,5.655992031
14,127,6.24027586
13,109,6.47697258
12,85,6.946013927
12,93,6.551080227
12,100,5.736572266
11,71,6.249975204
16,88,6.563855648
12,93,6.434546471
13,98,5.697093487
14,110,6.43775177
16,113,6.645091057
16,136,6.129050255
12,109,6.309918404
14,94,6.152732849
12,77,5.981414318
16,113,6.946013927
12,125,6.548219204
16,106,6.569481373
14,108,5.808142662
11,89,6.380122662
10,84,6.214608192
12,102,6.289715767
18,106,6.357842445
14,102,6.694561958
14,113,6.582025051
12,96,6.396929741
16,107,6.511745453
17,110,6.779922009
13,106,6.807934761
10,103,6.253829002
12,53,5.874930859
12,103,5.627621174
12,76,5.991464615
10,90,5.609471798
11,96,6.214608192
11,97,6.401916981
12,87,6.163314819
12,89,7.003065586
14,118,5.820083141
13,70,6.001414776
16,104,6.62936306
16,113,6.317164898
16,116,6.357842445
15,114,6.068425655
14,116,6.109247684
13,109,6.693323612
11,80,6.175867081
16,116,6.396929741
14,83,6.54102993
15,104,6.827629089
12,106,6.580639362
12,99,6.291569233
13,101,6.129050255
13,74,6.184148788
16,121,5.298317432
12,77,5.894402981
12,93,6.532334328
13,114,5.783825397
17,103,6.586171627
12,92,6.109247684
13,79,5.857933044
12,92,6.887552738
16,99,6.33327961
13,99,6.507277489
17,116,5.921578407
18,98,6.32435894
13,114,6.270988464
14,119,6.580639362
16,122,6.270988464
12,77,6.755768776
12,95,5.616771221
14,89,5.783825397
14,93,5.877735615
14,116,5.899897575
12,110,6.177944183
17,132,6.861711502
17,103,6.135564804
16,112,6.0330863
12,99,5.888877869
16,138,6.393590927
13,93,6.620073318
16,88,5.953243256
16,96,6.429719448
13,106,6.463029385
16,90,6.148468494
12,93,6.135564804
12,92,6.453625202
12,101,5.991464615
13,100,6.633318424
13,91,6.327936649
12,95,6.907755375
11,71,6.052089214
12,89,6.018593311
11,67,5.187386036
18,96,5.926926136
18,127,7.168580055
16,114,6.652863026
12,112,6.570882797
10,57,6.061457157
13,102,6.774223804
14,103,6.049733639
15,102,6.135564804
12,88,6.244166851
12,88,6.959398746
18,132,7.314552784
15,110,6.869014263
15,90,5.438079357
18,96,6.620073318
15,83,5.416100502
13,86,5.802118301
10,94,6.620073318
12,86,6.109247684
13,110,6.762729645
16,114,6.740519524
16,130,6.632001877
16,119,6.396929741
12,94,6.937314034
14,125,6.775366306
12,100,6.342121601
16,108,6.278521538
12,83,6.40357399
12,86,6.48768425
12,101,6.43775177
12,70,5.634789467
10,75,6.214608192
12,105,6.282266617
10,85,6.70686245
10,89,6.40357399
12,80,6.224558353
12,72,6.620073318
18,115,6.513230324
16,115,6.816735744
17,102,6.778784752
14,99,5.789960384
18,107,5.820083141
10,66,5.953243256
16,108,6.270988464
12,94,6.891625881
12,93,6.705638885
13,85,5.572154045
18,99,6.613384247
17,86,6.580639362
12,95,6.300786018
14,114,5.52146101
14,74,6.436150551
16,128,6.357842445
16,111,6.700731277
12,101,6.43775177
14,111,6.184148788
16,92,6.734591484
16,100,6.762729645
16,123,5.783825397
14,69,6.167516708
16,79,5.52146101
13,106,6.244166851
18,106,5.54517746
13,115,6.576469421
12,108,6.620073318
12,69,6.066108227
12,86,6.052089214
12,76,5.393627644
13,115,6.529418945
15,104,6.214608192
16,115,6.311734676
11,93,6.551080227
12,91,6.561030865
17,125,6.259581566
14,89,6.135564804
15,92,5.991464615
18,127,6.770789623
12,80,5.934894085
15,112,6.685861111
10,90,6.109247684
12,84,5.886104107
12,120,6.580639362
16,106,6.587550163
12,76,6.297109127
16,115,7.091742039
9,89,5.926926136
12,102,7.239214897
12,104,6.475432873
16,122,6.120297432
12,107,6.49375391
12,100,6.43775177
13,100,6.212605953
18,129,6.282266617
18,129,5.908082962
16,112,6.869014263
12,76,6.224558353
16,82,6.357842445
12,97,6.620073318
11,98,6.357842445
15,124,5.666426659
9,81,5.455321312
16,60,7.641564369
12,100,6.519147396
13,84,5.746203423
18,132,6.398594856
10,96,6.214608192
12,100,5.926926136
12,109,6.309918404
16,84,6.43775177
14,90,6.047372341
12,98,6.251904011
14,120,5.883322239
11,63,5.855072021
18,100,6.093569756
14,110,5.953243256
12,83,6.082219124
11,88,6.0330863
11,98,6.175867081
16,113,6.390240669
12,103,6.396929741
12,97,6.274762154
12,76,6.220590115
16,126,7.22548151
14,108,6.357842445
12,127,6.55393362
16,112,6.095824718
13,99,6.327936649
13,94,6.869014263
17,127,7.14598465
16,97,6.214608192
16,114,6.368186951
17,116,4.718498707
14,125,6.511745453
17,104,7.561641693
12,99,6.13122654
16,127,5.752572536
14,103,6.463029385
12,98,6.620073318
17,137,5.857933044
18,137,6.135564804
15,103,7.050989628
16,111,7.466227531
17,115,6.645091057
15,109,6.593044758
18,107,6.601230145
16,128,6.214608192
16,123,5.899897575
13,91,5.808142662
12,89,5.926926136
17,87,5.888877869
16,101,6.257667542
12,90,6.559615135
16,104,6.013715267
12,105,6.030685425
12,100,6.666956902
16,111,6.357842445
16,95,6.1696105
17,125,6.43775177
17,95,6.224558353
16,124,6.812345028
14,107,7.051855564
13,107,6.660574913
13,110,6.030685425
13,80,5.897153854
13,91,5.926926136
16,96,5.880533218
14,102,6.269096375
12,93,5.700443745
12,81,6.645091057
12,99,6.163314819
16,122,5.991464615
18,94,5.986452103
12,93,6.259581566
12,69,5.783825397
13,102,6.620073318
12,95,6.23636961
16,98,6.436150551
12,84,5.497168064
12,88,5.894402981
16,109,6.406879902
12,115,6.633318424
14,105,5.953243256
16,90,6.719013214
12,92,6.001414776
15,113,5.587248802
12,82,6.086774826
14,105,5.926926136
12,95,6.489204884
15,92,6.242223263
16,140,6.357842445
13,85,5.926926136
12,116,6.214608192
12,85,5.857933044
10,85,6.26339817
16,122,5.953243256
15,74,5.703782558
12,110,5.587248802
16,123,6.300786018
14,122,6.331501961
12,86,6.357842445
15,80,6.791221619
13,96,6.43775177
13,112,6.030685425
12,77,6.498281956
11,92,5.655992031
16,89,6.609349251
12,87,6.434546471
12,95,6.309918404
16,117,6.685861111
14,67,5.79909277
16,112,6.527957916
15,119,6.907755375
16,103,6.994850159
12,74,6.109247684
16,112,5.888877869
17,102,6.423246861
12,95,6.028278351
13,81,6.214608192
18,124,7.051855564
12,89,6.26339817
8,91,6.43775177
13,117,5.857933044
16,109,6.511745453
12,88,5.860786438
12,67,6.583409309
15,81,6.343880653
